ADDRESS,CITY,STATE,ZIP,LAST SOLD PRICE,BEDS,BATHS,SQFT,LOT SIZE,YEAR BUILT,DAYS ON MARKET,LATITUDE,LONGITUDE
9 Byrne Ln,Tenafly,NJ,7670,1097750,4,4.5,,10799,,65,40.9159909,-73.9636886
33 Leonard Ave,Tenafly,NJ,7670,,0,,2938,10999,1992,,40.9158199,-73.969503
,Tenafly,NJ,7670,1100000,3,2,,20670,,416,,
10 Sussex Rd,Tenafly,NJ,7670,1100000,5,3.5,,6499,,136,40.920178,-73.970113
92 Howard Park Dr,Tenafly,NJ,7670,,0,,2082,8002,1941,,40.91247,-73.955843
4 Stanton Rd,Tenafly,NJ,7670,1115000,7,4.5,,40946,,55,40.924825,-73.945866
98 George St,Tenafly,NJ,7670,1130000,5,3.5,,6991,,37,40.918477,-73.968376
302 Tenafly Rd,Tenafly,NJ,7670,,0,,1545,9649,2001,,40.9231006,-73.9683935
193 W Clinton Ave,Tenafly,NJ,7670,1147000,5,4.5,,9374,,83,40.92496,-73.974651
20 Floral Ter,Tenafly,NJ,7670,,0,,1952,11522,1939,,40.922787,-73.97901
7 Glenwood Rd,Tenafly,NJ,7670,,0,,2574,12096,1989,,40.922782,-73.953923
69 Newcomb Rd,Tenafly,NJ,7670,,0,,1020,6000,1933,,40.932478,-73.9686757
158 Downey Dr,Tenafly,NJ,7670,,0,,3220,14248,1951,,40.909919,-73.957721
18 Birchwood Pl,Tenafly,NJ,7670,1150000,5,3.5,,17999,,160,40.9191999,-73.955113
17 Mission Way,Tenafly,NJ,7670,,0,,2207,11134,1984,,40.909329,-73.95986
62 George St,Tenafly,NJ,7670,1162000,5,4.5,,8086,,99,40.919647,-73.967838
44 Old Smith Rd,Tenafly,NJ,7670,1170000,6,3.5,,,,405,40.9200312,-73.9531303
246 Woodland St,Tenafly,NJ,7670,1176500,4,3.5,,57935,,122,40.909401,-73.948871
93 Highwood Ave,Tenafly,NJ,7670,,0,,3600,21000,1894,,40.9269559,-73.9586209
,Tenafly,NJ,7670,1200000,3,3.5,,40075,,157,,
140 Downey Dr,Tenafly,NJ,7670,1200000,6,3.5,,16078,,391,40.9103733,-73.9585382
24 Westervelt Ave,Tenafly,NJ,7670,,0,,3489,14470,1911,,40.918163,-73.963831
2 Valley Pl,Tenafly,NJ,7670,,0,,3109,5288,1953,,40.9215523,-73.9634393
93 Prospect Ter,Tenafly,NJ,7670,,0,,1043,8551,1926,,40.930804,-73.958038
320 Engle St,Tenafly,NJ,7670,1240000,4,3,,27948,,71,40.929076,-73.956154
